Ref,Val,Package,PosX,PosY,Rot,Side
"FID1","Fiducial","Fiducial_1mm_Mask2mm",43.200000,-14.100000,0.000000,top
"FID2","Fiducial","Fiducial_1mm_Mask2mm",19.200000,-88.100000,0.000000,top
"FID3","Fiducial","Fiducial_1mm_Mask2mm",153.750000,-10.950000,0.000000,top
"FID4","Fiducial","Fiducial_1mm_Mask2mm",143.200000,-98.100000,0.000000,top
"FID5","Fiducial","Fiducial_1mm_Mask2mm",295.400000,-12.900000,0.000000,top
"FID6","Fiducial","Fiducial_1mm_Mask2mm",287.200000,-95.900000,0.000000,top
"G***","otto_logo","otto_logo_small",127.872200,-61.089000,0.000000,top
"J1","Conn_ARM_JTAG_SWD_10","PinHeader_2x05_P1.27mm_Vertical_SMD",76.950000,-36.750000,90.000000,top
"J7","Conn_01x20","X10B25L20T_FPC_1x20-1MP_P1.00mm_Horizontal",195.331800,-58.236200,180.000000,top
